1146,RAHUL JAIN,1:09:38,0:06:58,3744of 8179,3378of 6534,45 to 49 yrs Male
1147,RAJENDRA KUMAR,1:04:02,0:06:25,2729of 8179,2516of 6534,30 to 34 yrs Male
1148,SUNDARAM GANAPATHY,0:53:43,0:05:23,1071of 8179,1008of 6534,50 to 54 yrs Male
1150,NISHAN PANDEY,1:04:11,0:06:26,2761of 8179,2546of 6534,30 to 34 yrs Male
1153,VIJAYINDRA PRABHAKAR,0:54:03,0:05:25,1102of 8179,1037of 6534,45 to 49 yrs Male
1154,SUDHINDRA NAIB,1:03:33,0:06:22,2625of 8179,2428of 6534,45 to 49 yrs Male
1156,JAGMOHAN SHARMA,0:48:53,0:04:54,558of 8179,528of 6534,30 to 34 yrs Male
1158,NINAD SHETE,1:13:28,0:07:21,4415of 8179,3948of 6534,40 to 44 yrs Male
1160,DEEPAK PANDIYARAJAN,0:56:20,0:05:38,1397of 8179,1311of 6534,45 to 49 yrs Male
1162,SURESH MK,1:03:35,0:06:22,2635of 8179,2436of 6534,60 to 64 yrs Male
1163,BISWAJIT DASH,0:51:17,0:05:08,802of 8179,758of 6534,40 to 44 yrs Male
1165,VIGYAN VERMA,1:10:11,0:07:02,3842of 8179,3464of 6534,45 to 49 yrs Male
1172,DEVANDER BHATIA,1:02:18,0:06:14,2397of 8179,2227of 6534,45 to 49 yrs Male
1179,SUDHEENDRA SATYANARAYANA,0:54:51,0:05:30,1208of 8179,1137of 6534,40 to 44 yrs Male
1185,AKSHAYA KUMAR,0:47:19,0:04:44,425of 8179,403of 6534,30 to 34 yrs Male
1188,VISHWAS GAWADE,0:55:18,0:05:32,1270of 8179,1194of 6534,40 to 44 yrs Male
1189,ESWAR REDDY,1:16:13,0:07:38,4909of 8179,4334of 6534,40 to 44 yrs Male
1191,KAMAL DEEP DHAM,1:04:40,0:06:28,2845of 8179,2612of 6534,45 to 49 yrs Male
1194,RAJA DESHPANDEY,0:55:41,0:05:35,1311of 8179,1232of 6534,45 to 49 yrs Male
1203,PRADEEP RAMACHANDRA,0:54:12,0:05:26,1128of 8179,1063of 6534,35 to 39 yrs Male
1205,HEMANTH CHANDRASHEKAR,1:22:43,0:08:17,5952of 8179,5132of 6534,40 to 44 yrs Male
1211,NAVEEN SHANKAR,1:25:53,0:08:36,6332of 8179,5401of 6534,35 to 39 yrs Male
1216,VIKAS DARSHAN,1:02:55,0:06:18,2515of 8179,2329of 6534,40 to 44 yrs Male
1223,ASHISH GUPTA,1:23:15,0:08:20,6025of 8179,5189of 6534,30 to 34 yrs Male
1224,HARI KURAPATI,1:33:19,0:09:20,7115of 8179,5932of 6534,40 to 44 yrs Male
1226,SENTHIL VEERANNAN,1:07:12,0:06:44,3307of 8179,3008of 6534,40 to 44 yrs Male
